species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Illicium angustisepalum,Illicium angustisepalum A. C. Smith,大屿八角,乔木；,高达20米；,NA,NA,叶4-6片排成假轮生，革质，长圆状椭圆形，长 (5.5-) 7-12厘米，宽 (2) 2.5-4.2厘米，先端近急尖到渐尖，基部渐狭；中脉在上面微隆起，在下面突起，侧脉在两面突起或叶面稍陷入；叶柄上面成窄翅，长10-25毫米；,花单生叶腋、近顶生或生于老枝上；花蕾卵圆形；花梗长1-3厘米；花被片淡黄色，窄椭圆形或窄舌状，扁平，薄肉质，23-55枚，中轮最大，长1.4-1.7厘米，内轮渐窄小；雄蕊24-32，2轮：心皮12-14；,果未见；,种子长5-8毫米，宽4-6毫米，厚2-4毫米；,广东沿海岛屿；,NA,NA,沟谷两侧和溪边林缘；,1100-1850m；,花期3-5月，果期8-10月；
Illicium arborescens,Illicium arborescens Hayata,台湾八角,乔木；,高达15米，树干通直；芽鳞长圆形；,NA,NA,叶互生，近对生或3-5片簇生，革质或薄革质，狭长圆形、披针形或倒卵状椭圆形，长6-12厘米，宽2-4.5厘米，先端渐尖，基部楔形；中脉在叶上面凹陷下延至叶柄成槽沟，在下面突起；叶柄长8-17毫米；,花腋生或近顶生，单生或2-3朵簇生；花梗粗壮，长5-22毫米；花被片红色，淡红色，14-21片，纸质到肉质，最大的花被片倒卵状长圆形，长8-12毫米，宽5-9毫米，雄蕊39-41枚，长2-3毫米，花丝长1.2-1.7毫米，药隔截平微凹缺，药室略为突起，长1-1.5毫米；心皮12-16枚，长2-3.8毫米，子房长1-1.8毫米，花柱长1-2毫米；,聚合果直径28-40毫米，蓇葖12-14，有时减少到10，长15-18毫米，宽6-7毫米，厚3-4毫米，顶端有尖头，长3-5毫米；果梗长15-30毫米；,种子长6-9毫米，宽4.5-6毫米，厚1.5-2毫米；,台湾；,NA,NA,阔叶林中；,300-2500m；,花期1-4月，果期10月；
Illicium brevistylum,Illicium brevistylum A. C. Smith,短柱八角,灌木或乔木；,高可达15米；顶芽卵圆形、侧芽侧扁，芽鳞厚，有细缘毛；树皮有香气；,NA,NA,叶3-5片簇生或互生，薄革质，狭长圆状椭圆形或倒披针形，长5-8 (-14)厘米，宽1.5-4.5厘米，先端急尖或短尾状渐尖，尖头长5-10毫米，基部渐狭，下延成狭翅；中脉在叶上面凹陷，在下面凸起，侧脉在两面均不明显；叶柄长6-20毫米；,花腋生或近顶生；花梗长8-16毫米，直径1-2毫米；花被片9-11片，淡红色，外面的纸质，内面的肉质，最大的花被片近圆形，长、宽各为6-11毫米；雄蕊1或2轮，14-20枚，长1.9-3.4毫米，花丝长0.9-1.9毫米，药隔截形，药室突起，长0.8-1.6毫米；心皮12-13枚，长2.3-3.4毫米，子房长1.5-2.2毫米，花柱圆锥状钻形，长仅为0.8-1.2毫米；,蓇葖11-13枚，长13-17-29毫米，宽6-10毫米，厚3-4毫米，尖头长1-3毫米；果梗长16-35毫米；种子长6-7毫米，宽4.5-5毫米，厚2.5-3毫米；,NA,广东、广西、湖南南部和云南；,NA,NA,森林、灌丛中或岩石上；,700-1700m；,花期4-5月和10月，果期10-11月和4-5月；
Illicium burmanicum,Illicium burmanicum Wils.,中缅八角,乔木；,高达25米；,NA,NA,叶互生或4-10簇生枝顶，厚纸质或革质，长圆状披或窄椭圆形，长1.3-1.5厘米，内轮渐小针形、长椭圆形或倒卵状长圆形，长7-13厘米，先端骤尖或短尖，基部宽楔形，下面被油点，上面中脉凹下，宽约1毫米，侧脉7-12对；叶柄长1.5-3厘米；,花腋生或生于老枝上，单生或2-3簇生；,聚合果径2.5-4厘米；果柄长0.5-2厘米；朞荚12-13，长约2厘米，顶端喙状弯曲，长3-6毫米；,种子淡黄或灰褐色；,云南西部腾冲和泸水高黎贡山；,缅甸；,NA,NA,2300-2700m；,花蕾卵圆形；花梗长0.3-1厘米；花被片淡黄、白或带紫红色，扁平，薄肉质，20-32枚，中轮最大，长圆状倒卵形雄蕊20-26，2轮；心皮12-14；
Illicium difengpi,Illicium difengpi B. N. Chang et al.,地枫皮,灌木；,高1-3米，全株均具八角的芳香气味，根外皮暗红褐色，内皮红褐色；,NA,嫩枝褐色；,叶常3-5片聚生或在枝的近顶端簇生，革质或厚革质，倒披针形或长椭圆形，长（7）-10-14厘米，宽 (2-) 3-5厘米，先端短尖或近圆形，基部楔形，边缘稍外卷，两面密布褐色细小油点；中脉在叶上面下凹，干后网脉在两面比较明显；叶柄较粗壮，直径1.5-4毫米，长13-25毫米；,花紫红色或红色，腋生或近顶生，单朵或2-4朵簇生；花梗长12-25毫米；花被片(11-) 15-17 (-20)，最大一片宽椭圆形或近圆形，长15毫米，宽10毫米，肉质；雄蕊20-23枚，稀14-17枚，长3-4毫米；心皮常为13枚，长4.5-5.5毫米，花柱长2.5-3.5毫米，子房长2-2.5毫米；,果梗长1-4厘米；聚合果直径2.5-3厘米，蓇葖9-11枚，长12-16毫米，宽9-10毫米，厚3毫米，顶端常有向内弯曲的尖头，长3-5毫米；种子长6-7毫米，宽4.5毫米，厚1.5-2.5毫米；,NA,广西西南部都安、马山、德保至龙州等县；,NA,NA,石灰岩石山山顶与有土的石缝中或石山疏林下；石山也有分布；,200-1200m；,花期4-5月，果期8-10月；
Illicium dunnianum,Illicium dunnianum Tutch.,红花八角,灌木；,高1-5米；,NA,NA,叶3-8轮生状或簇生枝顶，薄革质或革质，窄披针形、窄倒披针形或近线形，长5-12厘米，先端尾尖或骤尖，基部渐窄，上面中脉凹下，宽约1毫米米，侧脉6-8对；叶柄长0.5-1.5厘米；,花单生叶腋或2-3簇生近枝顶；,NA,种子黄褐色，长4-5厘米；,福建南部、广东、广西、湖南西部、贵州南部和西南部；,NA,NA,河流沿岸、山谷水旁、山地林中、湿润山坡或岩石缝中；,400-1000m；,花蕾球形；花梗长1-3.5厘米；花被片红色，宽三角形、圆形或宽椭圆形，内凹，肉质，12-26枚，中轮最大，长0.6-1.1厘米，内面渐小；雄蕊6-31，1-2轮；心皮7-8，稀达13；聚合果径1.5-3厘米；果柄长2-5.5厘米；朞荚7-8，稀达11，长0.9-1.5厘米，顶端喙钻状，尖头长3-5厘米；
Illicium griffithii,Illicium griffithii Hook. f. et Thoms.,西藏八角,乔木；,高8-30米；,NA,NA,叶互生或3-5片簇生于小枝近顶端，革质，长圆状椭圆形或狭倒卵状椭圆形，长7-13厘米，宽2-5.5厘米，先端渐尖，中脉延伸至叶尖成小凸尖头；中脉在叶面明显凹陷，下延至叶柄成狭沟，侧脉每边7-10条，在叶上面近下陷或微突起，在下面突起或明显突起；叶柄长7-17毫米；,花腋生或近顶生，芳香，单生或2-3朵簇生；花梗长10-20毫米；花被片25-26，外面的花被片纸质到薄革质，内面的花被片肉质，花被片近圆形，长、宽7-10毫米，最内面的花被片（约10片）长圆状倒卵形，长4-5毫米，宽2.5-3毫米；雄蕊约30枚，长2.3-2.7毫米，花丝长1.1-1.4毫米药隔增厚，近截形，药室突起，长1-1.4毫米；心皮12-13，长4-4.5毫米，子房长1.5毫米，花柱长2.5-3毫米，长度明显超过子房，顶端常反折；,果梗长15-47毫米，蓇葖12-13，长14-20毫米，宽8-10毫米，厚3-5毫米，先端渐狭成一钻形尖头，长3-5毫米；,种子长7毫米，宽5毫米，厚2-2.5毫米；,西藏南部（墨脱）；,不丹和印度东北部；,NA,雨林中；,1200-2300m；,花期4-5月，果期10-12月；
Illicium henryi,Illicium henryi Diels.,红茴香,灌木状，稀小乔木；,高达7米；,NA,NA,叶互生或2-5簇生枝顶，革质，窄披针形、倒披针形或倒卵状椭圆形，长6-18厘米，先端长渐尖，基部楔形，上面中脉凹下，宽约1毫米，侧脉5-7对；叶柄长0.7-2厘米；,花腋生、腋上生、近顶生或老枝生花，单生或2-3簇生；,聚合果，蓇葖7-8，先端具尖喙；,种子淡褐或浅灰色；,产于陕甘南部、华东西南部、华中、华南及西南东部；,NA,NA,山地、丘陵、盆地的密林、疏林、灌丛、山谷、溪边或峡谷的悬崖峭壁上，喜阴湿；,300-2500m；,花蕾球形，花被片红色，肉质，外轮宽卵形或圆形，中轮最大，内轮渐小；雄蕊9-20，稀达28，1-2轮；
Illicium jiadifengpi,Illicium jiadifengpi B. N. Chang,假地枫皮,NA,NA,NA,NA,NA,NA,NA,NA,浙江（庆元百山祖；,NA,NA,NA,1100-1500m；,花期4-6月，果期8-10月；
Illicium lanceolatum,Illicium lanceolatum A. C. Smith,红毒茴,灌木或小乔木；,高3-10米；枝条纤细，树皮浅灰色至灰褐色；,NA,NA,叶互生或稀疏地簇生于小枝近顶端或排成假轮生，革质，披针形、倒披针形或倒卵状椭圆形，长5-15厘米，宽1.5-4.5厘米，先端尾尖或渐尖、基部窄楔形；中脉在叶面微凹陷，叶下面稍隆起，网脉不明显；叶柄纤细，长7-15毫米；,花腋生或近顶生，单生或2-3朵，红色、深红色；花梗纤细，直径0.8-2毫米，长15-50毫米；花被片10-15，肉质，最大的花被片椭圆形或长圆状倒卵形，长8-12.5毫米，宽6-8毫米；雄蕊6-11枚，长2.8-3.9毫米，花丝长1.5-2.5毫米，花药分离，长1-1.5毫米，药隔不明显截形或稍微缺，药室突起；心皮10-14枚，长3.9-5.3毫米，子房长1.5-2毫米，花柱钻形，纤细，长2-3.3毫米，骤然变狭；,果梗长可达6厘米（少有达8厘米），纤细、蓇葖10-14枚（少有9）轮状排列，直径3.4-4厘米，单个蓇葖长14-21毫米，宽5-9毫米，厚3-5毫米，顶端有-长3-7毫米，向后弯曲的钩状尖头；种子长7-8毫米，宽5毫米，厚2-3.5毫米；,NA,江苏南部、安徽、浙江、江西、福建、湖北、湖南、贵州；,NA,NA,生于混交林、疏林、灌丛中；,300-1500m；,花期4-6月，果期8-10月；
