species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Herminium souliei,Herminium souliei Schltr.,宽萼角盘兰,NA,植株高达40厘米；,块茎长圆形或卵球形，长1-2厘米，径1-1.5厘米；茎下部具2-4叶，其上具1-2小叶；,NA,下部叶窄长圆形，长5.5-20厘米，宽1-2厘米，先端尖；,花序具多花，长4-20厘米；苞片卵状披针形，短于子房；子房圆柱形，扭转，连花梗长约5毫米：花淡绿色；中萼片卵形，长3亳米，宽约2毫米，先端钝，侧萼片斜卵形，张开，较中萼片稍长稍宽，先端钝：花瓣线状披针形，直立，长2.7亳米，宽0.6亳米，与中萼片相靠，先端钝，较萼片薄；唇瓣下垂，长达4.5毫米，基部无距，中部缢缩，前部3裂，侧裂片镰状线形，长2毫米，内弯，中裂片披针形或锐三角形，较侧裂片短近1倍；,NA,NA,四川（西部）、云南（西北部至中部）、西藏（东南部）；,NA,NA,山坡阔叶林至针叶林下或山坡草地中；,1400-4200m；,花期7-8月；
Herminium tangianum,Herminium tangianum (S. Y. Hu) K. Y. Lang,宽叶角盘兰,植株高20-30厘米；,NA,块茎圆球形或椭圆形，长1-2厘米，直径1-1.5厘米，肉质；茎颇粗壮，直立，无毛，基部具2-3枚筒状鞘，中部之下具叶，在叶之上具苞片状小叶；,NA,叶（2-）3枚，叶片圆形或椭圆形，长2.5-5厘米，宽2-2.5厘米，直立伸展，先端近渐尖或稍钝，基部收狭成抱茎的鞘；,总状花序具极多数较密生的小花，狭圆柱形，似穗状，长4-10厘米；花苞片披针形，直立伸展，长6-7毫米，先端渐尖，稍短于子房；子房近圆柱状，顶部稍渐狭，扭转，无毛，连花梗长8毫米；花极小，白色；中萼片卵形，长2.5毫米，宽1.6毫米，先端渐尖或钝，具1脉；侧萼片倒披针形，长2.6毫米，宽1毫米，先端钝，具1脉；花瓣斜卵形，长1.2-2.4毫米，宽1.2毫米，先端钝，具1脉；唇瓣轮廓为提琴形，长2.5毫米，宽1.4毫米，基部具槽，无距，边缘增厚粗糙，基部之上缢缩且具蜂巢状小凹穴，中上部呈卵形，先端钝并且向下弯,NA,NA,云南（昆明附近）；,NA,NA,NA,NA,花期不详；
Herminium yunnanense,Herminium yunnanense Rolfe,云南角盘兰,植株高20-26厘米；,NA,块茎卵圆形或卵状长圆形，长5-15毫米，直径5-10毫米，肉质；茎细长，直立或近直立，无毛，基部具2枚筒状鞘，其上具1枚叶；,NA,叶直立伸展，叶片线形或线状长圆形，长4.5-13厘米，宽4-10毫米，先端急尖，基部收狭成抱茎的鞘；,总状花序多数密生的小花，圆柱状，长4.5-6.5厘米；花苞片卵形，直立伸展，长3-4毫米，先端渐尖，基部凹陷，短于子房；子房纺锤形，扭曲，无毛，连花梗长约5毫米；花小，黄绿色；中萼片卵形，直立，凹陷呈舟状，长约2毫米，宽1.2毫米，先端钝，具1脉；侧萼片稍伸展，近卵形，长2.5毫米，宽1.2-1.5毫米，先端钝，具1脉；花瓣近直立，卵形，较中萼片稍短，长1.5毫米，宽1.2毫米，先端近急尖，凹陷，具1脉；唇瓣轮廓为长圆形，肉质增厚，长2.3-2.5毫米，基部凹陷，先端具3齿或3浅裂，裂片等大或中裂片较侧裂,NA,NA,云南的西部；,NA,NA,山坡草地上；,2200-3300m；, 花期8-9月；
Herpysma longicaulis,Herpysma longicaulis Lindl.,爬兰,NA,植株高达30厘米；,茎径5-8毫米；,NA,叶椭圆状长圆形或卵状披针形，长5-10厘米；叶柄长2-3厘米，下部呈筒状、膜质鞘抱茎；,花序具几朵花，长3-4厘米，被柔毛；苞片长圆状披针形，长1.5-2厘米，被柔毛；子房圆柱形，被柔毛，连花梗长1.2-1.5厘米；萼片白色，中上部橙黄或粉红色，背面被柔毛，中萼片卵形，舟状，长8-9毫米，先端向后弯曲，与花瓣粘贴呈兜状，侧萼片窄长圆形，凹入，长1-1.1厘米，宽2-2.5毫米；花瓣白色，中上部橙黄或粉红色，窄菱状倒卵形，长0.9-1厘米，中部以上宽4.5-4.7毫米，较萼片薄，无毛，唇瓣白色，长圆形，较萼片稍短，从中部向下反折，基部具2枚圆齿状直立侧裂片，中裂片近四方形，先端具尖头，唇盘纵褶,NA,NA,云南西北部（贡山）；,尼泊尔、锡金、印度东北部、越南、泰国、印度尼西亚（苏门答腊）；,NA,山坡密林下；,1200m；,花期8-9月；
Hetaeria affinis,Hetaeria affinis (Griffith) Seidenfaden & Ormerod,滇南翻唇兰,植株高25-45厘米；,NA,根状茎伸长，茎状，匍匐，具节；茎直立，较粗壮，无毛，具6-8枚较疏生的叶；,NA,叶具柄，叶片稍偏斜的卵形或椭圆形，长7.5-13厘米，宽3.5-5.5厘米，先端急尖，基部钝，上面绿色，具5条绿色脉；叶柄长2.5-5厘米，基部扩大成抱茎的鞘；,宽3毫米，先端渐尖，与子房近等长；子房圆柱形，不扭转，被密的腺状柔毛，连花梗长8-9毫米；花小，前部略张开；萼片绿色，先端背面带粉红色，背面密被腺状柔毛，中萼片宽卵形，舟状，长5毫米，宽3.5毫米，先端钝尖，具3脉，与花瓣粘合呈兜状；侧萼片宽卵形，凹陷，略偏斜，长4.2毫米，宽3.2毫米，先端钝，具1脉；花瓣白色，薄，倒卵形，长4.5毫米，宽3毫米，先端微突，具1脉，两侧稍不等；唇瓣葫芦状卵形，凹陷，长3.5毫米，前部片小，宽卵形，长0.5毫米，宽0.8毫米，先端钝，片的基部之下缢缩，后部扩大，长约3毫米,NA,NA,云南南部（西双版纳：景洪、勐腊、曼丕）、麻栗坡；,锡金、印度东北部、缅甸北部、泰国；,NA,密林下；,820-1000m；,花茎直立，被密的腺状柔毛；总状花序具多数花，长7-10厘米，下部具3-5枚鞘状苞片；花苞片披针形，长7-8毫米；
Hetaeria anomala,Hetaeria anomala Lindley,四腺翻唇兰,NA,植株高达34厘米；,具根状茎；茎疏生3-7叶；,NA,叶卵状披针形，长3.5-7厘米，宽1.1-2厘米，上面具3条绿色脉：叶柄长1.5-2厘米；,苞片披针形，长7毫米，具缘毛，背面被长柔毛；子房圆柱形，被糙硬毛，不扭转，连花梗长7-8毫米；花白色；萼片长约5毫米，背面疏被糙硬毛，中萼片椭圆形，凹入，宽约2毫米，与花瓣粘贴呈兜状，侧萼片近斜卵形，宽2.2毫米；花瓣线形，长约5毫米，宽约0.6毫米，无毛，唇瓣位于上方，长5毫米，前部极扩大，2裂，裂片近圆形，长宽无2.5毫米，唇瓣中部收窄成细爪，爪长约1毫米，唇瓣基部浅囊状，内面具5脉，在4侧脉近基部各具1枚褶片状、横长圆形、先端钩曲的胼胝体；,NA,NA,台湾（恒春半岛里龙山、竹山）、海南（白沙、陵水、定安）；,泰国、马来西亚、印度尼西亚的西里伯斯北部；,特产；,密林下或路旁疏林下；,800-1000m；,花茎被长柔毛，下部具1-3鞘状苞片；花序具4-9花，长2-4.5厘米；
Hetaeria finlaysoniana,Hetaeria finlaysoniana Seidenfaden,长序翻唇兰,NA,植株高达35厘米，细长；,具根状茎；茎无毛，具4-5叶；,NA,叶长圆形或长椭圆形，稍不等侧，长6-9厘米，先端尖，上面和脉均绿色，基部钝圆；叶柄长1.5-3厘米，下部鞘状抱茎；,苞片披针形，粉红色，被柔毛，长8-9毫米，较子房稍短；子房圆柱形，被柔毛，连花梗长1-1.1厘米；花半张开；萼片粉红或近白色，背面被柔毛，中萼片长圆形或卵状长圆形，凹入，长5-6毫米，侧萼片斜长圆形或斜卵状长圆形，长5-6毫米；花瓣白色，斜歪菱状倒卵形，较萼片薄，长5-6毫米，先端收窄呈突尖头，无毛，与中萼片粘贴呈兜状；唇瓣位于上方，舟状，基部囊状，长4-4.5毫米，内面具5脉，近基部中脉两侧的4脉各具1-3枚细长、向基部弯的钩状胼胝体；,NA,NA,广西（宁明）、海南（白沙）；,泰国、斯里兰卡；,NA,密林下；,NA,花茎长15-22厘米，被柔毛，下部具2-3粉红色、披针形鞘状苞片，背面被柔毛；花序具多数较疏散的花，长8-12厘米，花序轴被柔毛；
Hetaeria obliqua,Hetaeria obliqua Bl.,斜瓣翻唇兰,植株高30-37厘米；,NA,根状茎伸长，茎状，匍匐、肉质，具节；茎直立，圆柱形，无毛，具4-5枚叶；,NA,叶具柄，叶片椭圆形至长圆状卵形，稍偏斜，不等侧，长6-7厘米，宽2.5-3.5厘米，先端急尖，基部圆钝，骤狭成柄，上面和脉均为绿色；叶柄长2-2.5厘米，下部扩大呈抱茎的鞘；,NA,NA,NA,海南；,泰国、马来西亚、印度尼西亚（苏门答腊岛、加里曼丹岛）；,特产；,密林下；,NA,花茎直立，长18-23厘米，被柔毛，下部具4-5枚鞘状苞片；总状花序具多数较密生的花，长8-11厘米；花苞片披针形，长6-7毫米，先端渐尖，背面被柔毛，较子房短；子房圆柱形，不扭转，被柔毛，连花梗长8-9毫米；花小；萼片具3脉，背面被柔毛，中萼片卵形，凹陷，长5.8毫米，宽3毫米，先端钝；侧萼片卵状长圆形，长5.5毫米，宽2.1毫米，先端钝；花瓣斜近匙状倒披针形，长5毫米，上部宽1.6毫米，先端钝，具1脉，无毛，与中萼片粘合呈兜状；唇瓣位于上方，近长圆形，凹陷呈舟状，长4.5毫米，宽2毫米，先端骤狭，具突
Hetaeria rubicunda,Hetaeria rubicunda H. G. Reichenbach,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hetaeria youngsayei,Hetaeria youngsayei Ormerod,香港翻唇兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum amesianum,Holcoglossum amesianum (Rchb. F.) Christenson,大根槽舌兰,NA,NA,茎长达5厘米，连叶鞘径约2厘米，基部具多数弯曲粗根；,NA,叶4-7，窄长，两侧常对折，长9-30厘米，宽0.5-1厘米；,花序长23-25厘米，花序梗长达15厘米，具数花；花质薄，淡粉红色；中萼片椭圆形，长1.5厘米，侧萼片斜卵状椭圆形，与中萼片等大；花瓣倒卵形，稍小，唇瓣淡紫红色，3裂，侧裂片斜立，卵状三角形，中裂片近肾状圆形，较大，先端稍凹缺，基部具直立附属物，边缘具细齿，上面有3条深紫红色脊突：距倒窄圆锥形，长约6毫米；,NA,NA,云南南部至西部（石屏、思茅、勐海、镇康、凤庆、沧源）；,缅甸、泰国、老挝、越南；,NA,山地常绿阔叶林中树干上；,1250-2000m；,花期3月；
Holcoglossum flavescens,Holcoglossum flavescens (Schltr.) Z. H. Tsi,短距槽舌兰,NA,NA,茎长达2厘米；,NA,叶半圆柱形或带状，稍V字形对折，斜立而外弯，长4-8.5厘米，径2.5-4毫米，近轴面具宽浅凹槽；,花序短于叶，近直立，花序梗长1-1.5厘米，具1-3花；,NA,NA,福建北部（武夷山、建阳）、湖北西南部（利川）、四川西南部（攀枝花）、云南北部（宾川、永胜）；,NA,NA,常绿阔叶林中树干上；,1200-2000m；,花开展，萼片和花瓣白色；中萼片椭圆形，长0.9-1.2厘米，侧萼片斜长圆形，与中萼片等大；花瓣椭圆形，长0.9-1.2厘米，唇瓣白色，3裂，侧裂片卵状三角形，内面具红色条纹，中裂片宽卵状菱形，长6-8毫米，先端圆钝或有时稍凹缺，边缘波状，基部具1枚宽卵状三角形的黄色胼胝体，中央凹下，两侧呈脊突状隆起；距角状，前弯，长约7毫米；花期5-6月；
Holcoglossum himalaicum,Holcoglossum himalaicum (Deb,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum kimballianum,Holcoglossum kimballianum (Rchb. F.) Garay,管叶槽舌兰,NA,植株下垂；,茎具4-5叶；,NA,叶肉质，圆柱形，长30-60厘米，径3-4毫米，基部具鞘；,花序弯垂，长10-28厘米，疏生多花；,NA,NA,云南东南部至西北部（麻栗坡、普洱、镇沅、思茅、景洪、勐海、剑川）；,NA,NA,山地林中树干上，分布于缅甸、泰国；,1000-1630m；,花美丽，质薄，萼片和花瓣白色带淡紫晕：中萼片椭圆形，长2.8厘米，侧萼片斜卵状镰形，较大，先端钝；花瓣与中萼片相似，近等大，唇瓣3裂，侧裂片背面白色，内面黄色带棕红色斑点，先端渐窄而弯曲，中裂片紫色，近圆形，长1.6厘米，先端凹，基部具2-3条褶片，边缘具细齿；距白色，角状，长1.5厘米，稍弧曲；花期11月；
Holcoglossum lingulatum,Holcoglossum lingulatum (Averyanov) Averyanov,舌唇槽舌兰,NA,NA,茎长达20厘米，径约7毫米；,NA,叶肉质，细圆柱形，长10-19厘米，径2-3毫米，基部常扭转偏向一侧，近轴面具纵槽；,花序短于或与叶近等长，疏生1-6花；花白色稍带红褐色斑点，萼片和花瓣稍扭曲；中萼片倒卵状长圆形，长1.3厘米，侧萼片斜卵状长圆形，长1.3厘米；花瓣长圆形，长1.2厘米，唇瓣白色，3裂，侧裂片上缘凹缺，后裂片半圆形，较短，前裂片较长，近卵状三角形，中裂片长圆状舌形，长1.5厘米，先端2浅裂，基部具2条较高的褶片，褶片之间有2-3条脊突或小褶片；距窄角状，长约2厘米；,NA,NA,广西（那坡）、云南（麻栗坡）；,NA,NA,山地疏林中树干上；,1000m；,花期9-10月；
Holcoglossum nagalandensis,,Holcoglossum nagalandensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum nujiangense,Holcoglossum nujiangense X. H. Jin & S. C. Chen,怒江槽舌兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum omeiense,Holcoglossum omeiense X. H. Jin & S. C. Chen,峨眉槽舌兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum quasipinifolium,Holcoglossum quasipinifolium (Hayata) Schltr.,槽舌兰,本种与舌唇槽舌兰的区别：中裂片倒卵状菱形，长1.3-1.6厘米，宽7-7.5毫米，先端平截，凹缺，基部具2列鸡冠状褶片，每列褶片深裂为等大的3个三角形裂片；,NA,NA,NA,NA,NA,NA,NA,台湾（新竹、嘉义一带）、四川（峨眉山）；,NA,NA,混交林中树干上；,700-2800m；,花期2-4月；
Holcoglossum pumilum,Holcoglossum pumilum (Hayata) X. H. Jin,尖叶槽舌兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum rupestre,Holcoglossum rupestre (Hand.-Mazz.) Garay,滇西槽舌兰,NA,NA,茎很短，长约2厘米，基部长出许多长达50厘米，粗约3-5毫米的气根；,NA,NA,叶10余枚，肉质，圆柱状，长12-28厘米，粗2-2.5毫米，先端渐尖，基部上方具1个关节，其下具覆瓦状套叠的鞘；花序斜出，长5-10厘米；花序柄被数个卵形、长约6-7毫米的鳞状鞘；花序轴柔弱，具6-10朵花；花苞片卵形，外折，长达1厘米，宿存；花梗和子房长2.5-3.5毫米；花直径约3厘米，开放；萼片和花瓣白色；中萼片近椭圆形，长约2毫米，宽7毫米，先端钝，具3条脉，其外侧的脉具分枝；侧裂片稍斜长圆形，长12毫米，宽7毫米，先端钝，具3条脉，在背面中肋隆起呈龙骨脊；花瓣近卵状椭圆形，长1厘米，宽约5.5,NA,NA,云南西北部；,NA,NA,NA,NA,花期6月；
Holcoglossum sinicum,Holcoglossum sinicum Christenson,中华槽舌兰,植株悬垂，具很短的茎和多数长而弯曲的圆柱形气根；,NA,NA,NA,叶多数，半圆柱形，肉质，长达23厘米，粗约2毫米，先端锐尖，基部具关节并且扩大成彼此套迭的鞘；,花序很短，不超过茎长，总状花序具1-3朵花；花苞片卵形，长约2毫米；花开放，白色；中萼片椭圆形，长9毫米，宽4毫米，先端稍钝；侧萼片与中萼片相似，长1厘米，宽5毫米，先端稍钝；花瓣相似于中萼片，长8毫米，宽4毫米，先端稍钝；唇瓣贴生于蕊柱足，无关节，3裂；侧裂片直立，卵状三角形，宽约2毫米，先端钝，基部下延至蕊柱足上；中裂片近菱形，宽约7毫米，先端圆形，全缘，基部具1个黄色胼胝体，但胼胝体不甚增厚，其两侧不隆起成脊突；距狭圆锥形，长8毫米；蕊柱直立，长3毫米，具长约2毫米的蕊柱足；粘盘柄线形；粘盘为不规则,蒴果圆柱形，长1.3厘米，粗3毫米，具6条肋；,NA,云南西部（漾濞）；,NA,NA,山地林中树干上；,2700-3200m；,花期5月，果期6-8月；
Holcoglossum subulifolium,Holcoglossum subulifolium (Rchb. F.) Christenson,白唇槽舌兰,NA,NA,茎长约2厘米；,NA,叶常3-4枚，肉质，近半圆柱形，长9-14厘米，径约3毫米，先端锐尖，基部具鞘，近轴面具凹槽；,花序长约14厘米，花序梗径2-3毫米，具数花；花质薄，萼片和花瓣白色，上部背面具淡紫色晕；中萼片近长圆形，长约1.7厘米，宽6毫米，先端锐尖，侧萼片镰状长圆形，较中萼片大；花瓣窄披针形，较中萼片小，唇瓣白色，3裂，侧裂片白色带黄色，具紫斑，尖牙齿状，中裂片宽三角形，长约1.2厘米，宽1厘米，凹入呈浅杓状，基部具3条黄色带褐色脊突，边缘波状，具齿；距短钝，倒圆锥形；,NA,NA,海南（乐东）；,缅甸、越南、泰国；,NA,山地常绿阔叶林中树干上；,约1300m；,花期3-4月；
Holcoglossum wangii,Holcoglossum wangii Christenson,筒距槽舌兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holcoglossum weixiense,Holcoglossum weixiense X. H. Jin & S. C. Chen,维西槽舌兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hsenhsua chrysea,"Hsenhsua chrysea (W.W.Sm.) X.H.Jin, Schuit., W.T.Jin & L.Q.Huang",先骕兰,NA,植株高达10厘米；,块茎近球形，径约1厘米，肉质；茎直立，叶2枚、互生、近对生，长圆形或长圆状披针形，长2-4厘米，上面无紫斑，先端渐尖或稍钝，基部鞘状抱茎；,NA,NA,花茎顶端具1花，无毛；苞片倒披针形，长1.8-4.5厘米，先端具短尖头，基部收窄；子房长约1厘米，无毛，花梗长1-1.5厘米；花黄色；中萼片长圆状披针形，直立，舟状，长约1厘米，先端渐尖，与花瓣靠合呈兜状，侧萼片镰状披针形，偏斜，反折向上，长1.4厘米，基部宽约3毫米，上部渐窄，先端渐尖；花瓣直立，斜宽卵形，长约1.2厘米，先端钝，基部前侧边缘外臌，无睫毛；唇瓣前伸，稍凹入，宽卵圆形，长1.2厘米，基部宽0.8-1.2厘米，具距，无睫毛，基部两侧具三角形小耳；距圆筒状，长达2.5厘米，下垂，末端渐尖，与子,NA,NA,云南西北部和西藏东南部；,NA,NA,林下覆有土的岩石上或山坡草地上；,3800-4000m；,花茎顶端具1花，无毛；苞片倒披针形，长1.8-4.5厘米，先端具短尖头，基部收窄；
Hylophila nipponica,Hylophila nipponica (Fukuyama) S. S. Ying,袋唇兰,植株高20-4.0厘米；,NA,根状茎伸长，匍匐，肉质，具节，节上生根；茎直立或向上伸展，黑或暗紫褐色，圆柱形，无毛，具3-6枚叶；,NA,叶片长圆形或椭圆形，长5-15厘米，宽3-5厘米，上面暗绿色，具光泽，背面色浅，先端渐尖或急尖，基部渐狭成柄，多少偏斜，叶柄长约4厘米，下部扩大成抱茎的鞘；,总状花序具多数较密生的花，长5-10厘米，花序梗和花序轴红褐色，被毛；花苞片红褐色，卵状披针形至披针形，长达1.8厘米，宽7.5毫米，先端渐尖，背面被毛，稍长于子房；子房圆柱状纺锤形，扭转，被毛，连花梗长10-11毫米；花绿色带红棕色，不甚张开，倒置（唇瓣位于下方）；中萼片卵形或卵状披针形，绿色，先端带红褐色，凹陷呈舟状，长7-9毫米，宽3.5-4毫米，质地较厚，上部1/3变狭且向前弯曲，具3脉，背面被毛，与花瓣粘合呈兜状；侧萼片偏斜的卵形或近圆形，长7-9毫米，宽6-9毫米，上部1/3突然弯曲向外，先端,NA,NA,台湾省；,NA,NA,林下阴湿处；,150-400m；,NA
Ischnogyne mandarinorum,Ischnogyne mandarinorum (Kraenzlin) Schlechter,瘦房兰,NA,NA,假鳞茎近圆柱形，上部稍变细，长1.5-3厘米，粗2.5-3.5毫米，上部1/3弯曲成钩状，干后褐色，有许多纵皱纹；,NA,叶近直立，狭椭圆形，薄革质，长4-7厘米，宽1.2-1.5厘米，先端钝或急尖；叶柄长1-2厘米；,花葶（连花）长5-7厘米，抽出时其所着生的假鳞茎尚幼嫩，顶端具1朵花；花苞片膜质，卵形，长5-7毫米；花梗和子房长1-2厘米；花白色，较大；萼片线状披针形，长2.8-3.2厘米，宽3-3.5毫米；侧萼片基部延伸的囊长约3毫米；花瓣与萼片相似，但稍短，宽约2.5毫米；唇瓣长约3厘米，上部宽约8毫米，向基部渐狭，顶端3裂而略似肩状；侧裂片小；中裂片近方形，先端截形而略有凹缺和细尖，基部有2个紫色小斑块；唇瓣基部的距长约3毫米，宽约1.5毫米；蕊柱长约2.5厘米，下部的翅宽不到0.5毫米，上部的翅一侧宽可达2.,蒴果椭圆形，长1.6-2厘米，粗7-9毫米；,NA,陕西南部、甘肃南部、湖北西部、四川和贵州西部（清镇、安顺）；,NA,NA,林下或沟谷旁的岩石上；,700-1500m；,花期5-6月，果期7-8月；
Kuhlhasseltia yakushimensis,Kuhlhasseltia yakushimensis (Yamamoto) Ormerod,旗唇兰,NA,植株高达13厘米；,茎绿色，具4-5叶；,NA,叶卵形，肉质，长0.8-2厘米，基部圆；叶柄长5-7毫米，基部鞘状抱茎；,苞片粉红色，宽披针形，长5-6毫米，具睫毛，背面疏生柔毛，子房圆柱状纺锤形，近顶部微弯，被疏柔毛，连花梗长7-8毫米；花萼片粉红色，背面基部被疏柔毛，中萼片长圆状卵形，直立，舟状，侧萼片斜镰状长圆形，直伸，基部合生成2浅裂的囊包唇瓣基部囊状距：花瓣白色，具红紫色斑块，斜半卵形，近顶部骤缢缩，具凸钝尖，基部窄，与中萼片粘贴呈兜状，唇瓣位下方，白色，T字形，较萼片和花瓣厚，长8毫米，伸出花被，基部距囊状，长1.5毫米，末端2浅裂，囊状距内具2枚角状胼胝体，中部爪细长，上部具1-4小齿，前部倒三角形，2裂或微凹,NA,NA,陕西（洋县）、安徽（宁国）、浙江；,日本（九州、琉球）、菲律宾的北部岛屿；,NA,林中树上苔藓丛中或林下或沟边岩壁石缝中；,450-1600m；,花茎常带紫红色，被白色柔毛，中部以下具1-2粉红色鞘状苞片；花序带粉红色，具3-7花，长2-3.5厘米，疏被柔毛；
Lecanorchis japonica,Lecanorchis japonica Bl.,盂兰,植株高40-60厘米，具较坚硬的根状茎；,植株高达33厘米；,根状茎径5-6亳米；茎带白色，果期黑色，无绿叶，中下部具膜质，圆筒状鞘；,NA,NA,花序长4-5厘米，具3-7花；苞片卵形或卵状披针形，长2.5-3毫米；花梗和子房长1.4-2厘米；杯状物高0.8-1毫米，宽约1毫米，有6齿：萼片倒披针形，长1.2-1.3厘米：花瓣与萼片相似；唇瓣有爪，爪边缘与蕊柱合生成筒，筒长3.5-4奄米离生部分近倒卵形或倒卵状披针形，长8-9毫米，3裂：侧裂片半卵形：中裂片宽椭圆形，长约3毫米，边缘皱波状、有缺刻，上面疏被长柔毛；唇盘疏被长柔毛；蕊柱长约7毫米；,蒴果直立；,NA,福建北部（武夷山）、湖南西南部（通道）；,日本；,NA,林下；,850-1000m；,花期5-7月；
Lecanorchis latens,Lecanorchis latens T. P. Lin & W. M. Lin,士贤皿柱兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecanorchis multiflora,Lecanorchis multiflora J. J. Smith,多花盂兰,植株高20-30厘米，地下具肉质根状茎；根状茎分枝，直径3-4毫米，有节，节上生有环状的鞘；鞘膜质，边缘有齿；,NA,茎近直立，纤细，无绿叶，具节，节上具鞘；鞘卵形至宽卵形，长4-6毫米，膜质，基部抱茎；,NA,NA,总状花序顶生，长8-10厘米，具13-21朵花；花苞片卵形，膜质，长2-3毫米；花未见；嫩果长1.7-2厘米，宽2-3毫米，具短的果梗；,NA,NA,云南南部（勐腊、勐海）；,泰国、马来西亚和印度尼西亚；,NA,石灰山林下；,600-700m；,NA
Lecanorchis nigricans,Lecanorchis nigricans Honda,全唇盂兰,植株高25-40厘米，具坚硬的根状茎；,植株高达40厘米；,茎直立，常分枝，无绿叶，具数枚鞘；,NA,NA,总状花序顶生，具数朵花；花苞片卵状三角形，长2-4毫米；花梗和子房长约1厘米，紫褐色；花淡紫色；花被下方的浅杯状物（副萼）很小；萼片狭倒披针形，长1-1.6厘米，宽1.5-2.5毫米，先端急尖；侧萼片略斜歪；花瓣倒披针状线形，与萼片大小相近；唇瓣亦为狭倒披针形，不与蕊柱合生，不分裂，与萼片近等长，上面多少具毛；蕊柱细长，白色，长6-10毫米；,蒴果圆筒形，长2-3厘米；,NA,福建中部至南部（永安、上杭、南靖）和台湾北部；,日本（包括琉球群岛）；,NA,林下阴湿处；,600-1000m；,花期不定，主要见于夏秋；
Lecanorchis subpelorica,Lecanorchis subpelorica T. C. Hsu & S. W. Chung,亚辐射盂兰,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecanorchis thalassica,Lecanorchis thalassica T. P. Lin,灰绿盂兰,植株高达50厘米；根状茎斜生；,NA,茎直立，红棕色，有黑斑，不分枝，无绿叶，有数枚鞘；鞘黑棕色；,NA,NA,总状花序顶生，具4-8朵花；花苞片卵形，较小；花梗和子房长约3.3厘米；花半张开，灰绿色而具黄边；花被基部的杯状物（副萼）很小，边缘有齿；中萼片倒披针形，长约2厘米，宽约5毫米，先端钝；侧萼片较狭窄，宽约3毫米；花瓣倒卵状披针形，长约2厘米，宽约6毫米，先端近圆形；唇瓣长约1.6厘米，向基部楔形，上部3裂，下半部与蕊柱合生成管；管长约8毫米，两侧胀大，但在距基部5毫米处收缩，胀大部分宽约3毫米；侧裂片直立，半圆形，外面紫色，内面生有短毛；中裂片全缘，近圆形，长约5.5毫米，先端微凹，上面密生黄色长柔毛；唇,NA,NA,台湾（溪头）；,NA,NA,灌木林下；,约1400m；,花期5月；
Liparis amabilis,Liparis amabilis Fukuyama,白花羊耳蒜,地生草本， 较矮小；,NA,假鳞茎聚生， 密集， 球形， 稍压扁， 直径约1厘米，外被白色的薄膜质鞘；,NA,叶1枚，卵形或卵状椭圆形，膜质或草质，先端急尖或钝，基部下延成短柄，叶片连柄长1-2厘米，无关节；,花葶长3-4厘米，上端具1-2朵花；花苞片三角形，很小；花梗和子房长6-10毫米；花大，白色，仅唇瓣具紫红色脉；萼片线形，长约1.2厘米，宽约3毫米，具3脉；花瓣丝状或狭线形，与萼片近等长，宽约0.5毫米，具1脉；唇瓣圆形，长约1.2厘米，先端具短尖，边缘有极细的缘毛，基部稍收狭，有2条稍粗厚的纵褶片从基部延伸至中部以上；蕊柱长约5毫米，向前弯曲，基部粗厚；,NA,NA,台湾北部（台北）；,NA,NA,林下；,900m；,花期4月；
Liparis angustioblonga,Liparis angustioblonga P. H. Yang & X. H. Jin,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
